Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,14T,17T,18T,19T,20T,27T
12/8/2018,11,n/a,n/a,9,13,n/a,14,11,10,16,18,n/a,n/a,9,12,n/a,14
13/8/2018,12,n/a,n/a,14,15,n/a,15,14,14,20,20,n/a,n/a,12,12,n/a,15
14/8/2018,11,n/a,n/a,11,15,n/a,16,13,14,18,19,n/a,n/a,10,15,n/a,14
15/8/2018,12,n/a,n/a,11,15,n/a,16,13,13,22,18,n/a,n/a,10,18,n/a,14
16/8/2018,14,n/a,n/a,13,14,n/a,18,14,14,19,19,n/a,n/a,11,12,n/a,17
17/8/2018,13,n/a,n/a,9,12,n/a,17,14,11,19,17,n/a,n/a,8,9,n/a,15
18/8/2018,8,n/a,n/a,8,10,n/a,11,9,7,14,16,n/a,n/a,7,8,n/a,n/a
19/8/2018,5,n/a,n/a,6,10,n/a,11,8,9,18,18,n/a,n/a,6,11,n/a,10
20/8/2018,8,n/a,n/a,13,13,n/a,15,11,12,19,21,n/a,n/a,10,11,n/a,14
21/8/2018,19,n/a,n/a,18,23,n/a,26,22,23,32,26,n/a,n/a,16,17,n/a,25
22/8/2018,19,n/a,n/a,18,21,n/a,23,20,19,32,25,n/a,n/a,16,18,n/a,23
23/8/2018,18,n/a,n/a,19,22,n/a,25,23,20,34,24,n/a,n/a,17,19,n/a,24
24/8/2018,17,n/a,n/a,13,19,n/a,21,17,17,29,27,n/a,n/a,15,12,n/a,20
25/8/2018,12,n/a,n/a,11,15,n/a,16,15,13,29,18,n/a,n/a,7,16,n/a,n/a
26/8/2018,11,n/a,n/a,10,14,n/a,15,13,14,26,19,n/a,n/a,9,17,n/a,14
27/8/2018,13,n/a,n/a,8,15,n/a,16,16,14,27,21,n/a,n/a,11,13,n/a,17
